matches_played,wins,draws,losses,goals_conceded,target_total_points,target_champion
38,11,9,18,67.0,42,0
38,9,7,22,67.0,34,0
38,19,9,10,35.0,66,0
38,12,14,12,53.0,50,0
38,11,14,13,55.0,47,0
38,23,12,3,36.0,81,1
38,20,11,7,36.0,71,0
38,9,10,19,65.0,37,0
38,14,9,15,55.0,51,0
38,10,13,15,48.0,43,0
38,3,8,27,76.0,17,0
38,18,9,11,41.0,63,0
38,9,12,17,62.0,39,0
38,12,11,15,52.0,47,0
38,19,13,6,35.0,70,0
38,12,9,17,50.0,45,0
38,16,14,8,51.0,62,0
38,19,9,10,41.0,66,0
38,11,9,18,51.0,42,0
38,16,12,10,50.0,60,0
38,19,6,13,51.0,63,0
38,9,13,16,54.0,40,0
38,21,7,10,38.0,70,0
38,11,11,16,55.0,44,0
38,13,10,15,58.0,49,0
38,7,15,16,56.0,36,0
38,11,8,19,64.0,41,0
38,6,13,19,56.0,31,0
38,25,6,7,28.0,81,0
38,12,8,18,47.0,44,0
38,8,9,21,56.0,33,0
38,7,12,19,68.0,33,0
38,21,12,5,38.0,75,0
38,12,11,15,60.0,47,0
38,14,12,12,39.0,54,0
38,11,11,16,61.0,44,0
38,9,10,19,58.0,37,0
38,23,8,7,36.0,77,0
38,32,4,2,27.0,100,1
38,10,12,16,68.0,42,0
38,19,9,10,54.0,66,0
38,13,6,19,70.0,45,0
38,7,5,26,81.0,26,0
38,3,7,28,76.0,16,0
38,12,9,17,48.0,45,0
38,14,8,16,59.0,50,0
38,16,9,13,46.0,57,0
38,9,12,17,65.0,39,0
38,30,7,1,22.0,97,0
38,21,7,10,51.0,70,0
38,10,4,24,69.0,34,0
38,21,9,8,39.0,72,0
38,15,9,14,46.0,54,0
38,15,7,16,48.0,52,0
38,23,2,13,39.0,71,0
38,15,7,16,55.0,52,0
38,32,2,4,23.0,98,1
38,9,9,20,60.0,36,0
38,11,7,20,68.0,40,0
38,14,7,17,53.0,49,0
38,32,3,3,33.0,99,1
38,10,9,19,62.0,39,0
38,9,7,22,65.0,34,0
38,15,9,14,50.0,54,0
38,11,10,17,50.0,43,0
38,8,10,20,64.0,34,0
38,16,11,11,47.0,59,0
38,18,12,8,36.0,66,0
38,18,8,12,41.0,62,0
38,11,11,16,58.0,44,0
38,14,14,10,48.0,56,0
38,9,8,21,67.0,35,0
38,9,14,15,54.0,41,0
38,13,10,15,56.0,49,0
38,5,6,27,75.0,21,0
38,15,7,16,60.0,52,0
38,26,3,9,35.0,81,0
38,14,12,12,39.0,54,0
38,20,6,12,54.0,66,0
38,15,14,9,40.0,59,0
38,19,8,11,47.0,65,0
38,5,13,20,53.0,28,0
38,12,8,18,66.0,44,0
38,20,9,9,42.0,69,0
38,18,8,12,45.0,62,0
38,5,11,22,76.0,26,0
38,9,14,15,46.0,41,0
38,7,2,29,63.0,23,0
38,17,8,13,48.0,59,0
38,18,5,15,54.0,59,0
38,21,11,6,44.0,74,0
38,18,7,13,39.0,61,0
38,12,7,19,68.0,43,0
38,12,9,17,62.0,45,0
38,19,10,9,36.0,67,0
38,20,6,12,50.0,66,0
38,12,9,17,52.0,45,0
38,16,7,15,46.0,55,0
38,10,9,19,55.0,39,0
38,27,5,6,32.0,86,1
38,13,7,18,56.0,46,0
38,16,10,12,57.0,58,0
38,7,14,17,53.0,35,0
38,21,11,6,33.0,74,0
38,11,6,21,66.0,39,0
38,14,10,14,59.0,52,0
38,6,5,27,77.0,23,0
38,5,7,26,84.0,22,0
38,22,5,11,40.0,71,0
38,13,10,15,62.0,49,0
38,28,8,2,26.0,92,0
38,13,6,19,54.0,45,0
38,11,15,12,46.0,48,0
38,9,11,18,79.0,38,0
38,29,6,3,26.0,93,1
38,12,15,11,44.0,51,0
38,9,13,16,67.0,40,0
38,15,6,17,43.0,51,0
38,22,3,13,48.0,69,0
38,16,8,14,51.0,56,0
38,11,12,15,49.0,45,0
38,18,6,14,63.0,60,0
38,8,12,18,57.0,36,0
38,19,14,5,33.0,71,0
38,11,6,21,71.0,39,0
38,15,7,16,53.0,52,0
38,7,10,21,78.0,31,0
38,9,7,22,68.0,34,0
38,23,6,9,43.0,75,0
38,11,7,20,55.0,40,0
38,18,7,13,46.0,61,0
38,26,6,6,43.0,84,0
38,18,8,12,53.0,62,0
38,28,5,5,33.0,89,1
38,6,7,25,73.0,25,0
38,11,8,19,58.0,41,0
38,15,14,9,46.0,59,0
38,11,11,16,47.0,44,0
38,9,11,18,68.0,38,0
38,19,10,9,47.0,67,0
38,5,9,24,78.0,24,0
38,13,9,16,67.0,48,0
38,12,12,14,62.0,48,0
38,13,9,16,51.0,48,0
38,3,7,28,104.0,16,0
38,18,6,14,62.0,60,0
38,28,5,5,29.0,89,0
38,10,9,19,65.0,39,0
38,18,9,11,63.0,63,0
38,18,6,14,58.0,60,0
38,9,9,20,67.0,36,0
38,28,7,3,34.0,91,1
38,20,6,12,61.0,66,0
38,24,10,4,41.0,82,0
38,13,8,17,61.0,47,0
38,13,7,18,65.0,46,0
38,20,8,10,61.0,68,0
38,14,10,14,74.0,52,0
38,13,10,15,58.0,49,0
38,6,8,24,85.0,26,0
38,11,9,18,54.0,42,0
38,4,10,24,82.0,22,0
38,20,14,4,34.0,74,0
38,11,15,12,44.0,48,0
38,20,6,12,47.0,66,0
38,19,8,11,46.0,65,0
38,11,10,17,62.0,43,0
38,16,8,14,57.0,56,0
38,20,9,9,43.0,69,0
38,6,7,25,80.0,25,0
38,19,9,10,51.0,66,0
38,11,5,22,65.0,38,0
38,21,8,9,44.0,71,0
38,2,6,30,86.0,12,0
38,13,14,11,51.0,53,0
38,16,13,9,59.0,61,0
38,15,9,14,54.0,54,0
38,15,11,12,46.0,56,0
38,12,6,20,69.0,42,0
38,25,9,4,41.0,84,1
