FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,ATFormPts,HTGD,ATGD,DiffPts,DiffFormPts
H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0.0,0.0,0.0,0.0
H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0.0,0.0,0.0,0.0
NH,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0.0,0.0,0.0,0.0
NH,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0.0,0.0,0.0,0.0
H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0.0,0.0,0.0,0.0
NH,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0.0,0.0,0.0,0.0
H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0.0,0.0,0.0,0.0
H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0.0,0.0,0.0,0.0
H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0.0,0.0,0.0,0.0
H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0.0,0.0,0.0,0.0
H,0,1,1,0,0.0,1.5,L,M,M,M,M,W,M,M,M,M,3,-0.5,0.5,-1.5,-1.5
H,0,4,1,2,0.0,1.5,L,M,M,M,M,W,M,M,M,M,3,-0.5,1.0,-1.5,-1.5
NH,1,2,3,0,0.0,1.5,L,M,M,M,M,W,M,M,M,M,3,-1.0,1.0,-1.5,-1.5
NH,3,3,1,1,1.5,1.5,W,M,M,M,M,W,M,M,M,M,3,1.0,1.0,0.0,0.0
H,0,4,2,0,0.0,1.5,L,M,M,M,M,W,M,M,M,M,3,-1.0,2.0,-1.5,-1.5
H,0,1,4,0,0.0,1.5,L,M,M,M,M,W,M,M,M,M,3,-2.0,0.5,-1.5,-1.5
H,0,2,2,2,0.0,0.5,L,M,M,M,M,D,M,M,M,M,1,-1.0,0.0,-0.5,-0.5
NH,2,1,2,3,0.5,0.0,D,M,M,M,M,L,M,M,M,M,0,0.0,-1.0,0.5,0.5
NH,2,0,4,0,0.0,0.5,L,M,M,M,M,D,M,M,M,M,1,-1.0,0.0,-0.5,-0.5
H,0,4,1,0,0.0,1.5,L,M,M,M,M,W,M,M,M,M,3,-0.5,2.0,-1.5,-1.5
NH,2,1,1,0,1.0,1.3333333333333333,W,L,M,M,M,W,D,M,M,M,4,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333
NH,3,4,2,5,1.0,0.3333333333333333,W,L,M,M,M,L,D,M,M,M,1,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.6666666666666666
H,2,3,4,4,0.3333333333333333,1.0,D,L,M,M,M,L,W,M,M,M,3,-0.6666666666666666,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666
NH,4,3,6,4,1.0,1.0,W,L,M,M,M,W,L,M,M,M,3,-0.6666666666666666,-0.3333333333333333,0.0,0.0
NH,4,4,2,1,1.3333333333333333,2.0,D,W,M,M,M,W,W,M,M,M,6,0.6666666666666666,1.0,-0.6666666666666666,-0.6666666666666666
H,3,4,4,2,1.0,1.3333333333333333,W,L,M,M,M,D,W,M,M,M,4,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.3333333333333333
NH,3,1,4,2,0.3333333333333333,1.0,L,D,M,M,M,L,W,M,M,M,3,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666
NH,2,3,5,1,0.0,1.3333333333333333,L,L,M,M,M,D,W,M,M,M,4,-1.0,0.6666666666666666,-1.3333333333333333,-1.3333333333333333
NH,1,4,1,4,0.6666666666666666,1.0,D,D,M,M,M,L,W,M,M,M,3,0.0,0.0,-0.3333333333333333,-0.3333333333333333
NH,4,4,1,6,2.0,1.0,W,W,M,M,M,W,L,M,M,M,3,1.0,-0.6666666666666666,1.0,1.0
H,5,2,3,1,1.25,1.0,D,D,W,M,M,D,W,L,M,M,4,0.5,0.25,0.25,0.25
NH,3,4,5,7,0.75,0.25,L,L,W,M,M,D,L,L,M,M,1,-0.5,-0.75,0.5,0.5
H,4,5,4,4,1.0,1.0,L,D,W,M,M,D,W,L,M,M,4,0.0,0.25,0.0,0.0
NH,7,6,8,7,0.75,0.5,L,L,W,M,M,D,L,D,M,M,2,-0.25,-0.25,0.25,0.25
NH,5,7,5,4,1.0,1.5,D,L,W,M,M,W,W,L,M,M,6,0.0,0.75,-0.5,-0.5
NH,5,5,5,4,1.5,1.5,W,W,L,M,M,W,W,L,M,M,6,0.0,0.25,0.0,0.0
NH,6,5,7,4,0.5,1.0,D,L,D,M,M,L,D,W,M,M,4,-0.25,0.25,-0.5,-0.5
H,1,3,0,4,1.25,1.0,D,W,D,M,M,W,D,L,M,M,4,0.25,-0.25,0.25,0.25
H,4,2,5,4,1.0,0.5,D,L,W,M,M,L,D,D,M,M,2,-0.25,-0.5,0.5,0.5
NH,2,7,1,4,1.0,1.5,D,W,L,M,M,W,W,L,M,M,6,0.25,0.75,-0.5,-0.5
NH,5,5,7,3,1.2,1.4,L,W,W,L,M,D,L,W,W,M,7,-0.4,0.4,-0.2,-0.2
NH,4,4,6,5,0.8,1.0,L,W,D,L,M,W,L,D,D,M,5,-0.4,-0.2,-0.2,-0.2
H,3,7,1,8,1.6,0.6,W,D,W,D,M,D,D,L,D,M,3,0.4,-0.2,1.0,1.0
H,7,7,6,9,1.4,1.2,W,D,L,W,M,W,L,W,L,M,6,0.2,-0.4,0.2,0.2
H,11,4,3,6,1.6,0.8,W,D,D,W,M,D,L,L,W,M,4,1.6,-0.4,0.8,0.8
NH,8,7,7,7,1.0,0.8,D,L,D,W,M,L,D,W,L,M,4,0.2,0.0,0.2,0.2
NH,7,7,4,7,1.8,1.0,W,W,W,L,M,D,D,L,W,M,5,0.6,0.0,0.8,0.8
NH,9,8,10,9,0.6,0.8,D,D,L,D,M,D,L,L,W,M,4,-0.2,-0.2,-0.2,-0.2
H,7,5,6,8,1.4,0.4,W,L,D,W,M,D,D,L,L,M,2,0.2,-0.6,1.0,1.0
H,9,5,6,7,1.4,1.2,D,W,W,L,M,L,W,W,L,M,6,0.6,-0.4,0.2,0.2
H,6,3,5,8,1.3333333333333333,0.8333333333333334,W,W,L,D,D,D,L,D,W,L,5,0.1666666666666666,-0.8333333333333334,0.5,0.5
H,10,8,11,6,0.8333333333333334,1.6666666666666667,D,D,L,L,W,W,W,L,D,W,10,-0.1666666666666666,0.3333333333333333,-0.8333333333333334,-0.8333333333333334
