HomeTeam,AwayTeam,FTR,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTFormPts,ATFormPts,HTGD,ATGD
Charlton,Man City,H,M,M,M,M,M,M,M,M,M,M,0,0,0,0
Chelsea,West Ham,H,M,M,M,M,M,M,M,M,M,M,0,0,0,0
Coventry,Middlesbrough,NH,M,M,M,M,M,M,M,M,M,M,0,0,0,0
Derby,Southampton,NH,M,M,M,M,M,M,M,M,M,M,0,0,0,0
Leeds,Everton,H,M,M,M,M,M,M,M,M,M,M,0,0,0,0
Leicester,Aston Villa,NH,M,M,M,M,M,M,M,M,M,M,0,0,0,0
Liverpool,Bradford,H,M,M,M,M,M,M,M,M,M,M,0,0,0,0
Sunderland,Arsenal,H,M,M,M,M,M,M,M,M,M,M,0,0,0,0
Tottenham,Ipswich,H,M,M,M,M,M,M,M,M,M,M,0,0,0,0
Man United,Newcastle,H,M,M,M,M,M,M,M,M,M,M,0,0,0,0
Arsenal,Liverpool,H,L,M,M,M,M,W,M,M,M,M,0,3,-0.5,0.5
Bradford,Chelsea,H,L,M,M,M,M,W,M,M,M,M,0,3,-0.5,1
Ipswich,Man United,NH,L,M,M,M,M,W,M,M,M,M,0,3,-1,1
Middlesbrough,Tottenham,NH,W,M,M,M,M,W,M,M,M,M,3,3,1,1
Everton,Charlton,H,L,M,M,M,M,W,M,M,M,M,0,3,-1,2
Man City,Sunderland,H,L,M,M,M,M,W,M,M,M,M,0,3,-2,0.5
Newcastle,Derby,H,L,M,M,M,M,D,M,M,M,M,0,1,-1,0
Southampton,Coventry,NH,D,M,M,M,M,L,M,M,M,M,1,0,0,-1
West Ham,Leicester,NH,L,M,M,M,M,D,M,M,M,M,0,1,-1,0
Arsenal,Charlton,H,L,M,M,M,M,W,M,M,M,M,0,3,-0.5,2
Bradford,Leicester,NH,W,L,M,M,M,W,D,M,M,M,3,4,0.333333333,0.333333333
Everton,Derby,NH,W,L,M,M,M,L,D,M,M,M,3,1,0.333333333,-0.333333333
Ipswich,Sunderland,H,D,L,M,M,M,L,W,M,M,M,1,3,-0.666666667,-0.333333333
Man City,Coventry,NH,W,L,M,M,M,W,L,M,M,M,3,3,-0.666666667,-0.333333333
Middlesbrough,Leeds,NH,D,W,M,M,M,W,W,M,M,M,4,6,0.666666667,1
Newcastle,Tottenham,H,W,L,M,M,M,D,W,M,M,M,3,4,-0.333333333,0.666666667
Southampton,Liverpool,NH,L,D,M,M,M,L,W,M,M,M,1,3,-0.333333333,-0.333333333
West Ham,Man United,NH,L,L,M,M,M,D,W,M,M,M,0,4,-1,0.666666667
Aston Villa,Chelsea,NH,D,D,M,M,M,L,W,M,M,M,2,3,0,0
Leeds,Man City,NH,W,W,M,M,M,W,L,M,M,M,6,3,1,-0.666666667
Man United,Bradford,H,D,D,W,M,M,D,W,L,M,M,5,4,0.5,0.25
Sunderland,West Ham,NH,L,L,W,M,M,D,L,L,M,M,3,1,-0.5,-0.75
Tottenham,Everton,H,L,D,W,M,M,D,W,L,M,M,4,4,0,0.25
Charlton,Southampton,NH,L,L,W,M,M,D,L,D,M,M,3,2,-0.25,-0.25
Chelsea,Arsenal,NH,D,L,W,M,M,W,W,L,M,M,4,6,0,0.75
Coventry,Newcastle,NH,W,W,L,M,M,W,W,L,M,M,6,6,0,0.25
Derby,Middlesbrough,NH,D,L,D,M,M,L,D,W,M,M,2,4,-0.25,0.25
Leicester,Ipswich,H,D,W,D,M,M,W,D,L,M,M,5,4,0.25,-0.25
Liverpool,Aston Villa,H,D,L,W,M,M,L,D,D,M,M,4,2,-0.25,-0.5
Bradford,Arsenal,NH,D,W,L,M,M,W,W,L,M,M,4,6,0.25,0.75
Coventry,Leeds,NH,L,W,W,L,M,D,L,W,W,M,6,7,-0.4,0.4
Ipswich,Aston Villa,NH,L,W,D,L,M,W,L,D,D,M,4,5,-0.4,-0.2
Leicester,Southampton,H,W,D,W,D,M,D,D,L,D,M,8,3,0.4,-0.2
Liverpool,Man City,H,W,D,L,W,M,W,L,W,L,M,7,6,0.2,-0.4
Man United,Sunderland,H,W,D,D,W,M,D,L,L,W,M,8,4,1.6,-0.4
Middlesbrough,Everton,NH,D,L,D,W,M,L,D,W,L,M,5,4,0.2,0
Newcastle,Chelsea,NH,W,W,W,L,M,D,D,L,W,M,9,5,0.6,0
Derby,Charlton,NH,D,D,L,D,M,D,L,L,W,M,3,4,-0.2,-0.2
