matches_played,goals_scored,goals_conceded,goal_difference,season_encoded,team_encoded,target_total_points,target_league_position,target_champion
38,45,67,-22,0,2,42,15,0
38,39,67,-28,0,20,34,19,0
38,49,35,14,0,18,66,4,0
38,59,53,6,0,7,50,10,0
38,59,55,4,0,9,47,11,0
38,68,36,32,0,14,81,1,1
38,65,36,29,0,0,71,2,0
38,44,65,-21,0,19,37,18,0
38,41,55,-14,0,24,51,9,0
38,34,48,-14,0,29,43,14,0
38,27,76,-49,0,1,17,20,0
38,59,41,18,0,23,63,6,0
38,48,62,-14,0,25,39,17,0
38,42,52,-10,0,26,47,11,0
38,69,35,34,0,27,70,3,0
38,40,50,-10,0,28,45,13,0
38,65,51,14,0,30,62,7,0
38,71,41,30,0,17,66,4,0
38,39,51,-12,0,8,42,15,0
38,63,50,13,0,15,60,8,0
38,74,51,23,1,0,63,6,0
38,34,54,-20,1,4,40,15,0
38,62,38,24,1,7,70,5,0
38,45,55,-10,1,8,44,10,0
38,44,58,-14,1,9,49,8,0
38,37,56,-19,1,23,36,17,0
38,44,64,-20,1,28,41,14,0
38,31,56,-25,1,29,31,20,0
38,68,28,40,1,18,81,2,0
38,39,47,-8,1,19,44,10,0
38,28,56,-28,1,26,33,18,0
38,35,68,-33,1,24,33,18,0
38,84,38,46,1,15,75,4,0
38,56,60,-4,1,14,47,9,0
38,36,39,-3,1,5,54,7,0
38,45,61,-16,1,2,44,10,0
38,28,58,-30,1,11,37,16,0
38,74,36,38,1,27,77,3,0
38,106,27,79,1,17,100,1,1
38,48,68,-20,1,30,42,13,0
38,65,54,11,2,18,66,6,0
38,56,70,-14,2,2,45,13,0
38,34,81,-47,2,10,26,19,0
38,22,76,-54,2,11,16,20,0
38,42,48,-6,2,19,45,13,0
38,52,59,-7,2,28,50,11,0
38,47,46,1,2,31,57,7,0
38,45,65,-20,2,23,39,16,0
38,89,22,67,2,15,97,2,0
38,73,51,22,2,0,70,5,0
38,34,69,-35,2,6,34,18,0
38,63,39,24,2,7,72,3,0
38,54,46,8,2,9,54,8,0
38,51,48,3,2,14,52,9,0
38,67,39,28,2,27,71,4,0
38,52,55,-3,2,30,52,9,0
38,95,23,72,2,17,98,1,1
38,35,60,-25,2,4,36,17,0
38,45,68,-23,2,5,40,15,0
38,51,53,-2,2,8,49,12,0
38,85,33,52,3,15,99,1,1
38,49,62,-13,3,30,39,16,0
38,40,65,-25,3,2,34,18,0
38,43,50,-7,3,5,54,9,0
38,31,50,-19,3,8,43,14,0
38,36,64,-28,3,28,34,18,0
38,61,47,14,3,27,59,6,0
38,66,36,30,3,18,66,3,0
38,67,41,26,3,14,62,5,0
38,38,58,-20,3,19,44,13,0
38,56,48,8,3,0,56,8,0
38,41,67,-26,3,1,35,17,0
38,39,54,-15,3,4,41,15,0
38,44,56,-12,3,9,49,12,0
38,26,75,-49,3,20,21,20,0
38,51,60,-9,3,23,52,11,0
38,102,35,67,3,17,81,2,0
38,39,39,0,3,22,54,9,0
38,69,54,15,3,7,66,3,0
38,51,40,11,3,31,59,6,0
38,62,47,15,4,30,65,6,0
