age,matches_played,goals,assists,non_penalty_goals,penalty_goals_made,penalty_attempts,xg,npxg,xag,npxg_+_xag,goals_per_90,assists_per_90,goals_+_assists_per_90,non_penalty_goals_per_90,xg_per_90,xag_per_90,npxg_per_90,player_encoded,nation_encoded,position_encoded,goals_per_match,assists_per_match,combined_per_match,scoring_consistency,penalty_ratio,open_play_goal_ratio,age_squared,age_goals_interaction,age_efficiency_index,experience_factor,prime_age_indicator,goals_vs_xg,goals_vs_xg_ratio,assists_vs_xag,scoring_threat_index,total_involvement,involvement_per_90,primary_threat_ratio,match_availability,high_availability,overall_threat_score,xg_consistency,penalty_dependence
32,38,29,18,20,9,9,25.2,18.2,14.2,32.4,0.77,0.48,1.25,0.53,0.67,0.38,0.49,1373,31,0,0.7435897435897436,0.46153846153846156,1.205128205128205,0.4350282485875706,0.9,0.6666666666666666,1024,928,0.43258426966292135,0.7916666666666666,0.7692307692307693,3.8000000000000007,1.1068702290076335,3.8000000000000007,0.8583740458015268,47,1.25,0.6041666666666666,1.0,1,0.728923076923077,0.8549618320610687,0.3
33,37,3,1,3,0,0,2.2,2.2,0.7,3.0,0.08,0.03,0.11,0.08,0.06,0.02,0.06,1883,74,1,0.07894736842105263,0.02631578947368421,0.10526315789473684,0.07407407407407407,0.0,0.75,1089,99,0.04395604395604395,0.7872340425531915,0.7307692307692307,0.7999999999999998,0.9375,0.30000000000000004,0.42523684210526314,4,0.11,0.6,0.9736842105263158,1,0.3088137651821863,0.75,0.0
22,37,0,4,0,0,0,1.1,1.1,3.1,4.2,0.0,0.11,0.11,0.0,0.03,0.09,0.03,1664,74,3,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,484,0,0.0,0.7872340425531915,0.8461538461538461,-1.1,0.0,0.8999999999999999,0.2022368421052632,4,0.11,0.0,0.9736842105263158,1,0.3123522267206478,0.47619047619047616,0.0
25,35,5,5,5,0,0,2.8,2.8,4.7,7.5,0.17,0.17,0.35,0.17,0.1,0.16,0.1,97,3,3,0.1388888888888889,0.1388888888888889,0.2777777777777778,0.1452991452991453,0.0,0.8333333333333334,625,125,0.11333333333333334,0.7777777777777778,0.9615384615384616,2.2,1.3157894736842106,0.2999999999999998,0.5318684210526317,10,0.35,0.45454545454545453,0.9210526315789473,1,0.39936437246963563,0.42105263157894735,0.0
25,31,1,2,1,0,0,1.7,1.7,1.0,2.7,0.04,0.07,0.11,0.04,0.06,0.03,0.06,761,37,1,0.03125,0.0625,0.09375,0.038461538461538464,0.0,0.5,625,25,0.02666666666666667,0.7560975609756098,0.9615384615384616,-0.7,0.37037037037037035,1.0,0.26623196881091615,3,0.11,0.25,0.8157894736842105,1,0.2963117408906883,0.7407407407407407,0.0
23,36,6,6,6,0,0,7.3,7.3,7.4,14.7,0.22,0.22,0.43,0.22,0.27,0.27,0.27,513,48,3,0.16216216216216217,0.16216216216216217,0.32432432432432434,0.18032786885245902,0.0,0.8571428571428571,529,138,0.15492957746478875,0.782608695652174,0.8846153846153846,-1.2999999999999998,0.7228915662650601,-1.4000000000000004,0.4785519974635384,12,0.43,0.46153846153846156,0.9473684210526315,1,0.43193522267206486,0.8433734939759037,0.0
30,33,0,1,0,0,0,1.2,1.2,4.6,5.8,0.0,0.04,0.04,0.0,0.04,0.17,0.04,147,87,1,0.0,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,900,0,0.0,0.7674418604651163,0.8461538461538461,-1.2,0.0,-3.5999999999999996,0.1836842105263158,1,0.04,0.0,0.868421052631579,1,0.27029959514170043,0.4545454545454546,0.0
31,28,0,0,0,0,0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.02,0.0,108,13,2,0.0,0.0,0.0,0.0,0.0,0.0,961,0,0.0,0.7368421052631579,0.8076923076923077,0.0,0.0,-0.6,0.14736842105263157,0,0.0,0.0,0.7368421052631579,0,0.22813765182186235,1.0,0.0
27,36,13,5,13,0,0,12.0,12.0,5.0,17.1,0.49,0.19,0.68,0.49,0.45,0.19,0.45,1150,20,0,0.35135135135135137,0.13513513513513514,0.4864864864864865,0.32885906040268453,0.0,0.9285714285714286,729,351,0.310126582278481,0.782608695652174,0.9615384615384616,1.0,1.0,0.0,0.6734736842105263,18,0.68,0.6842105263157895,0.9473684210526315,1,0.5386275303643725,0.9230769230769231,0.0
25,33,3,6,3,0,0,1.9,1.9,7.3,9.2,0.11,0.23,0.34,0.11,0.07,0.28,0.07,1843,32,1,0.08823529411764706,0.17647058823529413,0.2647058823529412,0.09909909909909909,0.0,0.75,625,75,0.07333333333333333,0.7674418604651163,0.9615384615384616,1.1,1.0344827586206897,-1.2999999999999998,0.4365807622504537,9,0.34,0.3,0.868421052631579,1,0.38283805668016196,0.6206896551724137,0.0
