matches_played,points_per_game,goals_scored,goals_conceded,goal_difference,target_total_points,target_league_position,target_champion,season_encoded,team_encoded
38,1.105263158,45,67,-22,42,15,0,0,2
38,0.894736842,39,67,-28,34,19,0,0,20
38,1.736842105,49,35,14,66,4,0,0,18
38,1.315789474,59,53,6,50,10,0,0,7
38,1.236842105,59,55,4,47,11,0,0,9
38,2.131578947,68,36,32,81,1,1,0,14
38,1.868421053,65,36,29,71,2,0,0,0
38,0.973684211,44,65,-21,37,18,0,0,19
38,1.342105263,41,55,-14,51,9,0,0,24
38,1.131578947,34,48,-14,43,14,0,0,29
38,0.447368421,27,76,-49,17,20,0,0,1
38,1.657894737,59,41,18,63,6,0,0,23
38,1.026315789,48,62,-14,39,17,0,0,25
38,1.236842105,42,52,-10,47,11,0,0,26
38,1.842105263,69,35,34,70,3,0,0,27
38,1.184210526,40,50,-10,45,13,0,0,28
38,1.631578947,65,51,14,62,7,0,0,30
38,1.736842105,71,41,30,66,4,0,0,17
38,1.105263158,39,51,-12,42,15,0,0,8
38,1.578947368,63,50,13,60,8,0,0,15
38,1.657894737,74,51,23,63,6,0,1,0
38,1.052631579,34,54,-20,40,15,0,1,4
38,1.842105263,62,38,24,70,5,0,1,7
38,1.157894737,45,55,-10,44,10,0,1,8
38,1.289473684,44,58,-14,49,8,0,1,9
38,0.947368421,37,56,-19,36,17,0,1,23
38,1.078947368,44,64,-20,41,14,0,1,28
38,0.815789474,31,56,-25,31,20,0,1,29
38,2.131578947,68,28,40,81,2,0,1,18
38,1.157894737,39,47,-8,44,10,0,1,19
38,0.868421053,28,56,-28,33,18,0,1,26
38,0.868421053,35,68,-33,33,18,0,1,24
38,1.973684211,84,38,46,75,4,0,1,15
38,1.236842105,56,60,-4,47,9,0,1,14
38,1.421052632,36,39,-3,54,7,0,1,5
38,1.157894737,45,61,-16,44,10,0,1,2
38,0.973684211,28,58,-30,37,16,0,1,11
38,2.026315789,74,36,38,77,3,0,1,27
38,2.631578947,106,27,79,100,1,1,1,17
38,1.105263158,48,68,-20,42,13,0,1,30
38,1.736842105,65,54,11,66,6,0,2,18
38,1.184210526,56,70,-14,45,13,0,2,2
38,0.684210526,34,81,-47,26,19,0,2,10
38,0.421052632,22,76,-54,16,20,0,2,11
38,1.184210526,42,48,-6,45,13,0,2,19
38,1.315789474,52,59,-7,50,11,0,2,28
38,1.5,47,46,1,57,7,0,2,31
38,1.026315789,45,65,-20,39,16,0,2,23
38,2.552631579,89,22,67,97,2,0,2,15
38,1.842105263,73,51,22,70,5,0,2,0
38,0.894736842,34,69,-35,34,18,0,2,6
38,1.894736842,63,39,24,72,3,0,2,7
38,1.421052632,54,46,8,54,8,0,2,9
38,1.368421053,51,48,3,52,9,0,2,14
38,1.868421053,67,39,28,71,4,0,2,27
38,1.368421053,52,55,-3,52,9,0,2,30
38,2.578947368,95,23,72,98,1,1,2,17
38,0.947368421,35,60,-25,36,17,0,2,4
38,1.052631579,45,68,-23,40,15,0,2,5
38,1.289473684,51,53,-2,49,12,0,2,8
38,2.605263158,85,33,52,99,1,1,3,15
38,1.026315789,49,62,-13,39,16,0,3,30
38,0.894736842,40,65,-25,34,18,0,3,2
38,1.421052632,43,50,-7,54,9,0,3,5
38,1.131578947,31,50,-19,43,14,0,3,8
38,0.894736842,36,64,-28,34,18,0,3,28
38,1.552631579,61,47,14,59,6,0,3,27
38,1.736842105,66,36,30,66,3,0,3,18
38,1.631578947,67,41,26,62,5,0,3,14
38,1.157894737,38,58,-20,44,13,0,3,19
38,1.473684211,56,48,8,56,8,0,3,0
38,0.921052632,41,67,-26,35,17,0,3,1
38,1.078947368,39,54,-15,41,15,0,3,4
38,1.289473684,44,56,-12,49,12,0,3,9
38,0.552631579,26,75,-49,21,20,0,3,20
38,1.368421053,51,60,-9,52,11,0,3,23
38,2.131578947,102,35,67,81,2,0,3,17
38,1.421052632,39,39,0,54,9,0,3,22
38,1.736842105,69,54,15,66,3,0,3,7
38,1.552631579,51,40,11,59,6,0,3,31
38,1.710526316,62,47,15,65,6,0,4,30
38,0.736842105,27,53,-26,28,18,0,4,10
38,1.157894737,41,66,-25,44,14,0,4,8
38,1.815789474,68,42,26,69,3,0,4,15
38,1.631578947,68,45,23,62,7,0,4,27
38,0.684210526,35,76,-41,26,19,0,4,29
38,1.078947368,40,46,-6,41,16,0,4,4
38,0.605263158,20,63,-43,23,20,0,4,22
38,1.552631579,47,48,-1,59,9,0,4,9
38,1.552631579,62,54,8,59,9,0,4,13
38,1.947368421,73,44,29,74,2,0,4,18
38,1.605263158,55,39,16,61,8,0,4,0
38,1.131578947,47,68,-21,43,15,0,4,23
38,1.184210526,46,62,-16,45,12,0,4,19
38,1.763157895,58,36,22,67,4,0,4,7
38,1.736842105,68,50,18,66,5,0,4,14
38,1.184210526,36,52,-16,45,12,0,4,31
38,1.447368421,55,46,9,55,11,0,4,1
38,1.026315789,33,55,-22,39,17,0,4,5
38,2.263157895,83,32,51,86,1,1,4,17
38,1.210526316,48,56,-8,46,13,0,5,3
38,1.526315789,57,57,0,58,6,0,5,18
38,0.921052632,34,53,-19,35,18,0,5,5
38,1.947368421,76,33,43,74,3,0,5,7
38,1.026315789,43,66,-23,39,16,0,5,9
38,1.368421053,62,59,3,52,8,0,5,14
38,0.605263158,34,77,-43,23,19,0,5,28
38,0.578947368,23,84,-61,22,20,0,5,20
38,1.868421053,69,40,29,71,4,0,5,27
38,1.289473684,44,62,-18,49,11,0,5,19
38,2.421052632,94,26,68,92,2,0,5,15
38,1.184210526,52,54,-2,45,14,0,5,1
38,1.263157895,50,46,4,48,12,0,5,8
38,1.0,42,79,-37,38,17,0,5,13
38,2.447368421,99,26,73,93,1,1,5,17
38,1.342105263,42,44,-2,51,9,0,5,4
38,1.052631579,43,67,-24,40,15,0,5,23
38,1.342105263,38,43,-5,51,9,0,5,31
38,1.815789474,61,48,13,69,5,0,5,0
38,1.473684211,60,51,9,56,7,0,5,30
38,1.184210526,40,49,-9,45,11,0,6,8
38,1.578947368,70,63,7,60,8,0,6,27
38,0.947368421,34,57,-23,36,17,0,6,9
38,1.868421053,68,33,35,71,4,0,6,19
38,1.026315789,37,71,-34,39,15,0,6,2
38,1.368421053,55,53,2,52,10,0,6,10
38,0.815789474,48,78,-30,31,19,0,6,13
38,0.894736842,51,68,-17,34,18,0,6,14
38,1.973684211,58,43,15,75,3,0,6,18
38,1.052631579,42,55,-13,40,14,0,6,30
38,1.605263158,51,46,5,61,7,0,6,1
38,2.210526316,88,43,45,84,2,0,6,0
38,1.631578947,72,53,19,62,6,0,6,4
38,2.342105263,94,33,61,89,1,1,6,17
38,0.657894737,36,73,-37,25,20,0,6,23
38,1.078947368,31,58,-27,41,13,0,6,31
38,1.552631579,58,46,12,59,9,0,6,3
38,1.157894737,38,47,-9,44,12,0,6,7
38,1.0,38,68,-30,38,16,0,6,21
38,1.763157895,75,47,28,67,5,0,6,15
38,0.631578947,41,78,-37,24,19,0,7,5
38,1.263157895,54,67,-13,48,11,0,7,2
38,1.263157895,55,62,-7,48,11,0,7,4
38,1.263157895,40,51,-11,48,11,0,7,9
38,0.421052632,35,104,-69,16,20,0,7,22
38,1.578947368,85,62,23,60,7,0,7,19
38,2.342105263,91,29,62,89,2,0,7,0
38,1.026315789,56,65,-9,39,16,0,7,3
38,1.657894737,77,63,14,63,6,0,7,7
38,1.578947368,57,58,-1,60,7,0,7,18
38,0.947368421,49,67,-18,36,17,0,7,21
38,2.394736842,96,34,62,91,1,1,7,17
38,1.736842105,74,61,13,66,5,0,7,27
38,2.157894737,86,41,45,82,3,0,7,15
38,1.236842105,55,61,-6,47,14,0,7,10
38,1.210526316,50,65,-15,46,15,0,7,31
38,1.789473684,76,61,15,68,4,0,7,1
38,1.368421053,60,74,-14,52,9,0,7,30
38,1.289473684,57,58,-1,49,10,0,7,8
38,0.684210526,52,85,-33,26,18,0,7,16
38,1.105263158,44,54,-10,42,15,0,8,18
38,0.578947368,36,82,-46,22,19,0,8,12
38,1.947368421,69,34,35,74,2,0,8,0
38,1.263157895,42,44,-2,48,13,0,8,9
38,1.736842105,68,47,21,66,5,0,8,19
38,1.710526316,58,46,12,65,7,0,8,21
38,1.131578947,46,62,-16,43,14,0,8,30
38,1.473684211,66,57,9,56,9,0,8,3
38,1.815789474,64,43,21,69,4,0,8,7
38,0.657894737,33,80,-47,25,18,0,8,14
38,1.736842105,58,51,7,66,5,0,8,1
38,1.0,64,65,-1,38,17,0,8,27
38,1.868421053,72,44,28,71,3,0,8,17
38,0.315789474,26,86,-60,12,20,0,8,23
38,1.394736842,51,51,0,53,12,0,8,8
38,1.605263158,66,59,7,61,8,0,8,4
38,1.421052632,54,54,0,54,11,0,8,10
38,1.473684211,58,46,12,56,9,0,8,2
38,1.105263158,54,69,-15,42,15,0,8,31
38,2.210526316,86,41,45,84,1,1,8,15
