age,matches_played,goals,assists,non_penalty_goals,penalty_goals_made,penalty_attempts,xg,npxg,xag,npxg_+_xag,goals_per_90,assists_per_90,goals_+_assists_per_90,non_penalty_goals_per_90,xg_per_90,xag_per_90,npxg_per_90,player_encoded,nation_encoded,position_encoded
32,38,29,18,20,9,9,25.2,18.2,14.2,32.4,0.77,0.48,1.25,0.53,0.67,0.38,0.49,1373,31,0
33,37,3,1,3,0,0,2.2,2.2,0.7,3,0.08,0.03,0.11,0.08,0.06,0.02,0.06,1883,74,1
22,37,0,4,0,0,0,1.1,1.1,3.1,4.2,0,0.11,0.11,0,0.03,0.09,0.03,1664,74,3
25,35,5,5,5,0,0,2.8,2.8,4.7,7.5,0.17,0.17,0.35,0.17,0.1,0.16,0.1,97,3,3
25,31,1,2,1,0,0,1.7,1.7,1,2.7,0.04,0.07,0.11,0.04,0.06,0.03,0.06,761,37,1
23,36,6,6,6,0,0,7.3,7.3,7.4,14.7,0.22,0.22,0.43,0.22,0.27,0.27,0.27,513,48,3
30,33,0,1,0,0,0,1.2,1.2,4.6,5.8,0,0.04,0.04,0,0.04,0.17,0.04,147,87,1
31,28,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0.02,0,108,13,2
27,36,13,5,13,0,0,12,12,5,17.1,0.49,0.19,0.68,0.49,0.45,0.19,0.45,1150,20,0
25,33,3,6,3,0,0,1.9,1.9,7.3,9.2,0.11,0.23,0.34,0.11,0.07,0.28,0.07,1843,32,1
25,35,10,4,10,0,0,7.1,7.1,4.4,11.5,0.47,0.19,0.65,0.47,0.33,0.2,0.33,378,74,0
23,33,3,3,3,0,0,4.3,4.3,1.1,5.4,0.16,0.16,0.32,0.16,0.23,0.06,0.23,394,32,5
27,26,6,3,6,0,0,7.9,7.9,1.8,9.8,0.45,0.23,0.68,0.45,0.6,0.14,0.6,498,83,0
25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,50,2
28,18,0,1,0,0,0,0.4,0.4,2.1,2.5,0,0.11,0.11,0,0.04,0.23,0.04,1062,44,1
25,30,5,2,5,0,0,5.8,5.8,1.3,7.1,0.4,0.16,0.56,0.4,0.46,0.1,0.46,445,100,0
21,19,0,2,0,0,0,0.7,0.7,1.4,2.1,0,0.24,0.24,0,0.08,0.17,0.08,380,76,1
27,9,0,0,0,0,0,0.3,0.3,0.1,0.4,0,0,0,0,0.06,0.02,0.06,902,32,1
21,13,0,0,0,0,0,0.1,0.1,0.1,0.2,0,0,0,0,0.02,0.02,0.02,845,32,1
21,18,1,2,1,0,0,1.8,1.8,1.1,2.8,0.24,0.49,0.73,0.24,0.43,0.26,0.43,730,32,3
31,20,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.02,0,1894,56,5
26,6,0,0,0,0,0,0.3,0.3,0.2,0.5,0,0,0,0,0.28,0.15,0.28,601,54,0
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886,27,2
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,32,3
32,38,29,18,20,9,9,25.2,18.2,14.2,32.4,0.77,0.48,1.25,0.53,0.67,0.38,0.49,1373,31,0
33,37,3,1,3,0,0,2.2,2.2,0.7,3,0.08,0.03,0.11,0.08,0.06,0.02,0.06,1883,74,1
22,37,0,4,0,0,0,1.1,1.1,3.1,4.2,0,0.11,0.11,0,0.03,0.09,0.03,1664,74,3
25,35,5,5,5,0,0,2.8,2.8,4.7,7.5,0.17,0.17,0.35,0.17,0.1,0.16,0.1,97,3,3
25,31,1,2,1,0,0,1.7,1.7,1,2.7,0.04,0.07,0.11,0.04,0.06,0.03,0.06,761,37,1
23,36,6,6,6,0,0,7.3,7.3,7.4,14.7,0.22,0.22,0.43,0.22,0.27,0.27,0.27,513,48,3
30,33,0,1,0,0,0,1.2,1.2,4.6,5.8,0,0.04,0.04,0,0.04,0.17,0.04,147,87,1
31,28,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0.02,0,108,13,2
27,36,13,5,13,0,0,12,12,5,17.1,0.49,0.19,0.68,0.49,0.45,0.19,0.45,1150,20,0
25,33,3,6,3,0,0,1.9,1.9,7.3,9.2,0.11,0.23,0.34,0.11,0.07,0.28,0.07,1843,32,1
25,35,10,4,10,0,0,7.1,7.1,4.4,11.5,0.47,0.19,0.65,0.47,0.33,0.2,0.33,378,74,0
23,33,3,3,3,0,0,4.3,4.3,1.1,5.4,0.16,0.16,0.32,0.16,0.23,0.06,0.23,394,32,5
27,26,6,3,6,0,0,7.9,7.9,1.8,9.8,0.45,0.23,0.68,0.45,0.6,0.14,0.6,498,83,0
25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,50,2
28,18,0,1,0,0,0,0.4,0.4,2.1,2.5,0,0.11,0.11,0,0.04,0.23,0.04,1062,44,1
25,30,5,2,5,0,0,5.8,5.8,1.3,7.1,0.4,0.16,0.56,0.4,0.46,0.1,0.46,445,100,0
21,19,0,2,0,0,0,0.7,0.7,1.4,2.1,0,0.24,0.24,0,0.08,0.17,0.08,380,76,1
27,9,0,0,0,0,0,0.3,0.3,0.1,0.4,0,0,0,0,0.06,0.02,0.06,902,32,1
21,13,0,0,0,0,0,0.1,0.1,0.1,0.2,0,0,0,0,0.02,0.02,0.02,845,32,1
21,18,1,2,1,0,0,1.8,1.8,1.1,2.8,0.24,0.49,0.73,0.24,0.43,0.26,0.43,730,32,3
31,20,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.02,0,1894,56,5
26,6,0,0,0,0,0,0.3,0.3,0.2,0.5,0,0,0,0,0.28,0.15,0.28,601,54,0
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886,27,2
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,32,3
28,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,34,2
23,35,2,0,2,0,0,2.3,2.3,0.9,3.1,0.06,0,0.06,0.06,0.07,0.03,0.07,1906,37,1
25,35,4,7,4,0,0,3.5,3.5,6.6,10.1,0.13,0.22,0.35,0.13,0.11,0.21,0.11,468,32,3
31,35,4,2,4,0,0,2.3,2.3,2.1,4.3,0.13,0.06,0.19,0.13,0.07,0.07,0.07,1802,42,5
29,38,8,7,8,0,0,7.2,7.2,6.1,13.3,0.28,0.25,0.53,0.28,0.25,0.22,0.25,1086,9,0
26,28,3,1,3,0,0,2.6,2.6,0.9,3.5,0.11,0.04,0.15,0.11,0.1,0.03,0.1,651,13,1
23,30,1,3,1,0,0,1.2,1.2,0.8,2.1,0.04,0.11,0.15,0.04,0.05,0.03,0.05,992,74,1
25,30,3,8,2,1,1,4.8,4,5.4,9.5,0.12,0.31,0.43,0.08,0.19,0.21,0.16,1247,77,3
28,28,7,2,7,0,0,5.9,5.9,2,7.9,0.4,0.11,0.51,0.4,0.34,0.11,0.34,1351,34,4
17,23,1,0,1,0,0,0.2,0.2,0.4,0.6,0.07,0,0.07,0.07,0.01,0.03,0.01,1392,32,1
26,17,0,2,0,0,0,0.5,0.5,1.4,1.8,0,0.15,0.15,0,0.03,0.1,0.03,261,32,1
22,19,2,1,2,0,0,0.9,0.9,0.3,1.1,0.18,0.09,0.27,0.18,0.08,0.03,0.08,1621,54,1
24,17,1,0,1,0,0,0.2,0.2,0.3,0.5,0.08,0,0.08,0.08,0.01,0.03,0.01,825,82,1
32,15,0,0,0,0,0,0.1,0.1,0.4,0.5,0,0,0,0,0.01,0.05,0.01,946,54,3
27,17,3,0,3,0,0,3,3,0.7,3.7,0.44,0,0.44,0.44,0.44,0.1,0.44,650,13,0
