goals_+_assists,penalty_attempts,xg,npxg,progressive_receives,non_penalty_goals_per_90,non_penalty_goals_+_assists_per_90,goals
47,9,25.2,18.2,488,0.53,1.01,29
4,0,2.2,2.2,6,0.08,0.11,3
4,0,1.1,1.1,55,0.0,0.11,0
10,0,2.8,2.8,80,0.17,0.35,5
3,0,1.7,1.7,3,0.04,0.11,1
12,0,7.3,7.3,127,0.22,0.43,6
1,0,1.2,1.2,108,0.0,0.04,0
0,0,0.0,0.0,0,0.0,0.0,0
18,0,12.0,12.0,293,0.49,0.68,13
9,0,1.9,1.9,94,0.11,0.34,3
14,0,7.1,7.1,278,0.47,0.65,10
6,0,4.3,4.3,79,0.16,0.32,3
9,0,7.9,7.9,88,0.45,0.68,6
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.4,0.4,43,0.0,0.11,0
7,0,5.8,5.8,78,0.4,0.56,5
2,0,0.7,0.7,39,0.0,0.24,0
0,0,0.3,0.3,2,0.0,0.0,0
0,0,0.1,0.1,4,0.0,0.0,0
3,0,1.8,1.8,30,0.24,0.73,1
0,0,0.0,0.0,8,0.0,0.0,0
0,0,0.3,0.3,7,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
47,9,25.2,18.2,488,0.53,1.01,29
4,0,2.2,2.2,6,0.08,0.11,3
4,0,1.1,1.1,55,0.0,0.11,0
10,0,2.8,2.8,80,0.17,0.35,5
3,0,1.7,1.7,3,0.04,0.11,1
12,0,7.3,7.3,127,0.22,0.43,6
1,0,1.2,1.2,108,0.0,0.04,0
0,0,0.0,0.0,0,0.0,0.0,0
18,0,12.0,12.0,293,0.49,0.68,13
9,0,1.9,1.9,94,0.11,0.34,3
14,0,7.1,7.1,278,0.47,0.65,10
6,0,4.3,4.3,79,0.16,0.32,3
9,0,7.9,7.9,88,0.45,0.68,6
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.4,0.4,43,0.0,0.11,0
7,0,5.8,5.8,78,0.4,0.56,5
2,0,0.7,0.7,39,0.0,0.24,0
0,0,0.3,0.3,2,0.0,0.0,0
0,0,0.1,0.1,4,0.0,0.0,0
3,0,1.8,1.8,30,0.24,0.73,1
0,0,0.0,0.0,8,0.0,0.0,0
0,0,0.3,0.3,7,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
2,0,2.3,2.3,6,0.06,0.06,2
11,0,3.5,3.5,94,0.13,0.35,4
6,0,2.3,2.3,48,0.13,0.19,4
15,0,7.2,7.2,226,0.28,0.53,8
4,0,2.6,2.6,11,0.11,0.15,3
4,0,1.2,1.2,104,0.04,0.15,1
11,1,4.8,4.0,154,0.08,0.39,3
9,0,5.9,5.9,94,0.4,0.51,7
1,0,0.2,0.2,37,0.07,0.07,1
2,0,0.5,0.5,42,0.0,0.15,0
3,0,0.9,0.9,29,0.18,0.27,2
1,0,0.2,0.2,1,0.08,0.08,1
0,0,0.1,0.1,6,0.0,0.0,0
3,0,3.0,3.0,57,0.44,0.44,3
0,0,0.1,0.1,0,0.0,0.0,0
0,0,0.2,0.2,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
11,0,4.3,4.3,96,0.14,0.3,5
2,0,2.0,2.0,14,0.03,0.05,1
29,4,20.3,17.2,217,0.62,0.82,23
4,0,3.7,3.7,22,0.12,0.12,4
1,0,0.3,0.3,119,0.0,0.03,0
20,0,5.7,5.7,231,0.31,0.76,8
7,0,3.9,3.9,110,0.15,0.26,4
6,0,4.4,4.4,53,0.14,0.21,4
0,0,0.0,0.0,0,0.0,0.0,0
4,0,0.4,0.4,80,0.0,0.16,0
13,0,7.2,7.2,192,0.46,0.67,9
3,0,0.1,0.1,58,0.0,0.21,0
2,0,1.6,1.6,86,0.0,0.17,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.6,0.6,22,0.0,0.0,0
0,0,0.5,0.5,0,0.0,0.0,0
1,0,0.4,0.4,5,0.0,0.3,0
0,0,0.4,0.4,17,0.0,0.0,0
0,0,0.0,0.0,3,0.0,0.0,0
1,0,0.5,0.5,8,0.29,0.29,1
0,0,0.5,0.5,18,0.0,0.0,0
1,0,0.2,0.2,17,0.67,0.67,1
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
3,0,2.6,2.6,43,0.06,0.09,2
7,0,1.9,1.9,154,0.07,0.23,2
2,0,0.4,0.4,53,0.04,0.07,1
12,4,9.9,6.8,133,0.2,0.32,9
5,0,3.6,3.6,218,0.19,0.19,5
0,0,0.6,0.6,3,0.0,0.0,0
0,0,0.1,0.1,64,0.0,0.0,0
2,0,3.3,3.3,56,0.05,0.1,1
0,0,2.4,2.4,1,0.0,0.0,0
5,0,3.5,3.5,86,0.18,0.29,3
0,0,0.4,0.4,4,0.0,0.0,0
4,0,1.6,1.6,152,0.07,0.29,1
3,0,1.4,1.4,47,0.07,0.22,1
0,0,0.2,0.2,28,0.0,0.0,0
0,0,0.6,0.6,28,0.0,0.0,0
3,0,5.2,5.2,50,0.29,0.29,3
0,0,0.1,0.1,0,0.0,0.0,0
1,0,0.0,0.0,20,0.0,0.13,0
2,0,0.9,0.9,41,0.11,0.21,1
1,0,0.6,0.6,0,0.0,0.1,0
0,0,0.2,0.2,18,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.2,0.2,4,1.23,1.23,1
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
1,0,0.0,0.0,0,0.0,0.03,0
4,0,3.1,3.1,29,0.1,0.14,3
2,0,1.2,1.2,112,0.04,0.07,1
14,1,9.6,8.8,95,0.38,0.55,10
0,0,0.8,0.8,3,0.0,0.0,0
3,0,2.4,2.4,61,0.09,0.14,2
7,0,2.7,2.7,54,0.24,0.34,5
0,0,0.5,0.5,34,0.0,0.0,0
8,0,4.6,4.6,79,0.27,0.43,5
4,1,2.8,2.0,52,0.1,0.29,2
0,0,0.2,0.2,2,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
4,0,0.4,0.4,45,0.21,0.42,2
5,0,1.2,1.2,57,0.13,0.66,1
1,0,0.9,0.9,23,0.17,0.17,1
0,0,0.2,0.2,10,0.0,0.0,0
0,0,1.0,1.0,17,0.0,0.0,0
1,0,0.5,0.5,9,0.37,0.37,1
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.1,0.1,2,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,3,0.0,0.0,0
7,0,0.6,0.5,197,0.05,0.19,2
16,0,10.0,10.0,282,0.31,0.45,11
1,0,1.3,1.3,4,0.0,0.03,0
4,0,0.9,0.9,52,0.03,0.12,1
0,0,0.1,0.1,0,0.0,0.0,0
18,6,10.3,5.6,173,0.23,0.46,12
11,1,12.5,11.7,99,0.39,0.43,10
5,0,1.8,1.8,44,0.09,0.21,2
5,0,1.9,1.9,10,0.11,0.19,3
11,0,8.4,8.4,191,0.31,0.49,7
3,0,1.6,1.6,10,0.0,0.14,0
0,0,0.7,0.7,34,0.0,0.0,0
0,0,0.8,0.8,7,0.0,0.0,0
0,0,0.7,0.7,33,0.0,0.0,0
0,0,0.0,0.0,22,0.0,0.0,0
1,0,0.3,0.3,8,0.0,0.2,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.6,0.6,13,0.0,0.0,0
0,0,0.0,0.0,3,0.0,0.0,0
1,0,1.0,1.0,16,0.76,0.76,1
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
5,0,2.5,2.5,18,0.05,0.13,2
27,6,12.3,7.5,351,0.4,0.58,20
2,0,0.0,0.0,0,0.0,0.05,0
23,0,18.5,18.5,154,0.59,0.71,19
12,0,2.8,2.8,137,0.06,0.37,2
9,0,4.3,4.3,42,0.16,0.29,5
4,0,0.8,0.8,38,0.04,0.16,1
13,0,8.2,8.2,165,0.43,0.51,11
2,0,1.1,1.1,9,0.09,0.09,2
0,0,1.0,1.0,44,0.0,0.0,0
0,0,0.6,0.6,47,0.0,0.0,0
2,0,0.2,0.2,54,0.0,0.16,0
2,0,0.2,0.2,27,0.0,0.21,0
1,0,0.2,0.2,24,0.0,0.17,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.1,0.1,4,0.0,0.0,0
0,0,0.0,0.0,5,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
