H_avg_gs_5,H_avg_gc_5,H_avg_gd_5,H_avg_pts_5,H_avg_gs_10,H_avg_gc_10,H_avg_gd_10,H_avg_pts_10,H_ewma_gs_0.1,H_ewma_gc_0.1,H_ewma_gd_0.1,H_ewma_gs_0.2,H_ewma_gc_0.2,H_ewma_gd_0.2,H_h2h_avg_gs,H_h2h_avg_gc,H_h2h_win_rate,A_avg_gs_5,A_avg_gc_5,A_avg_gd_5,A_avg_pts_5,A_avg_gs_10,A_avg_gc_10,A_avg_gd_10,A_avg_pts_10,A_ewma_gs_0.1,A_ewma_gc_0.1,A_ewma_gd_0.1,A_ewma_gs_0.2,A_ewma_gc_0.2,A_ewma_gd_0.2,A_h2h_avg_gs,A_h2h_avg_gc,A_h2h_win_rate,diff_avg_gd_5,diff_avg_gd_10,diff_ewma_gd_0.1,diff_ewma_gd_0.2,target
0.6,1.0,-0.4,1.0,0.8,1.9,-1.1,0.9,0.7877563787324677,1.6979719673312106,-0.9102155885987433,0.6946499398801177,1.4696561797793761,-0.775006239899258,1.0,2.0,0.0,1.2,1.4,-0.2,1.4,1.2,1.9,-0.7,1.3,1.226672874986179,1.7333120740893402,-0.5066391991031611,1.175707520833756,1.7315831793617733,-0.5558756585280176,1.0,2.0,0.0,-0.2,-0.40000000000000013,-0.40357638949558217,-0.21913058137124042,
1.2,2.0,-0.8,1.0,1.1,1.7,-0.6,1.1,1.2574065078400234,1.7859276555865011,-0.5285211477464777,1.216742282797358,2.0241616404682,-0.8074193576708427,3.0,0.0,1.0,1.0,1.8,-0.8,1.4,0.9,1.4,-0.5,1.1,0.9632498401797609,1.6585026468709365,-0.6952528066911758,0.8533581825409279,1.7788467275374047,-0.9254885449964768,3.0,0.0,1.0,0.0,-0.09999999999999998,0.1667316589446981,0.1180691873256341,
1.4,1.4,0.0,1.2,1.9,1.3,0.6,1.3,1.7576130164763255,1.3362389137475543,0.42137410272877146,1.6849095195003636,1.286966970507004,0.3979425489933601,2.0,0.0,1.0,1.6,2.0,-0.4,1.0,0.9,1.8,-0.9,0.8,0.9683155681196525,1.772968965732429,-0.8046533976127767,1.248971461459895,1.8780217986878351,-0.6290503372279406,2.0,0.0,1.0,0.4,1.5,1.2260275003415482,1.0269928862213007,
1.0,1.4,-0.4,1.6,0.7,1.6,-0.9,1.1,0.9632236597070303,1.6888903524712782,-0.7256666927642478,0.8782761483294232,1.484786050121669,-0.6065099017922456,3.0,2.0,1.0,1.2,2.0,-0.8,1.6,1.2,1.5,-0.3,1.4,1.1193759296211299,1.4533539206605839,-0.33397799103945425,1.1565072899631048,1.710289512649014,-0.5537822226859096,3.0,2.0,1.0,0.4,-0.6000000000000001,-0.39168870172479353,-0.05272767910633602,
1.8,1.2,0.6,1.4,1.3,1.2,0.1,1.3,1.3239731606826006,0.9531760163051252,0.3707971443774752,1.5382051828886967,1.0618690023799464,0.4763361805087503,0.0,1.0,0.0,1.4,0.8,0.6,1.4,1.4,0.8,0.6,1.6,1.3834338121506065,0.8912849899084662,0.4921488222421401,1.385193831790431,0.8320040501268847,0.5531897816635464,0.0,1.0,0.0,0.0,-0.5,-0.12135167786466494,-0.07685360115479606,
1.2,1.0,0.2,1.0,2.1,1.1,1.0,1.5,1.7667816156504048,1.2039510870385488,0.5628305286118553,1.599228896358658,1.0227629207049542,0.5764659756537035,2.0,0.0,1.0,1.4,0.8,0.6,1.4,1.6,0.5,1.1,1.6,1.6261117087026824,0.6546699454860011,0.9714417632166816,1.6550849390977835,0.5956499981733119,1.0594349409244714,2.0,0.0,1.0,-0.39999999999999997,-0.10000000000000009,-0.4086112346048263,-0.48296896527076794,
1.8,0.8,1.0,1.4,2.4,0.6,1.8,1.8,2.248088552100618,0.8226274757506299,1.4254610763499882,1.9951436945825043,0.9210179725406891,1.0741257220418152,1.0,1.0,0.0,1.6,0.8,0.8,1.4,1.6,0.8,0.8,1.5,1.6032484014820452,0.8759052849151777,0.7273431165668675,1.6869011513848693,0.8106948471944045,0.876206304190465,1.0,1.0,0.0,0.19999999999999996,1.0,0.6981179597831207,0.19791941785135025,
1.2,0.6,0.6,1.6,1.1,0.7,0.4,1.6,1.0335446982898222,0.874759628779696,0.15878506951012578,1.0221674693323872,0.8351544846446773,0.1870129846877099,4.0,2.0,1.0,2.0,1.6,0.4,1.2,1.5,1.8,-0.3,1.1,1.5519025652333116,1.743711163036892,-0.19180859780358045,1.8350708390902564,1.7207536623055517,0.11431717678470414,4.0,2.0,1.0,0.19999999999999996,0.7,0.3505936673137062,0.07269580790300577,
1.8,1.4,0.4,1.6,1.5,1.6,-0.1,1.4,1.4840531416182476,1.55632093682261,-0.07226779520436266,1.531949798975983,1.5844771207918331,-0.05252732181585031,1.0,1.0,0.0,0.6,1.4,-0.8,1.0,0.6,1.6,-1.0,0.7,0.8693299403874759,1.4473958631094805,-0.5780659227220043,0.7108367237667845,1.2678555648277314,-0.5570188410609472,1.0,1.0,0.0,1.2000000000000002,0.9,0.5057981275176416,0.5044915192450969,
2.6,1.2,1.4,2.0,1.9,0.9,1.0,1.5,1.95743119931895,1.0367325490262471,0.9206986502927035,2.2663012047893947,1.228512405620956,1.0377887991684385,1.0,0.0,1.0,1.6,0.6,1.0,2.0,1.5,0.8,0.7,1.6,1.3678100714261376,0.7993924042926412,0.5684176671334961,1.6210923136998736,0.7333248544682276,0.8877674592316459,1.0,0.0,1.0,0.3999999999999999,0.30000000000000004,0.3522809831592074,0.15002133993679256,
